Romania,1
New Zealand,1
Germany,2
Australia,2
Colombia,2
Denmark,2
Sweden,2
Costa Rica,2
United States,2
Austria,2
Canada,2
Czech Republic,2
Hungary,2
Singapore,2
Switzerland,3
Thailand,3
Mexico,3
South Africa,3
France,3
South Korea,3
Qatar,3
Ireland,3
Kuwait,3
Indonesia,3
Netherlands,3
Belgium,3
India,3
Norway,3
United Kingdom,3
Finland,3
Ukraine,3
China,4
Turkey,4
Poland,4
Hong Kong,4
Japan,4
Malaysia,4
Israel,4
Chile,4
Saudi Arabia,4
Taiwan,4
Italy,4
Spain,4
Brazil,4
Philippines,4
Portugal,4
Slovakia,5
Greece,5
United Arab Emirates,5
Russia,5
